id,file_path,speech,class
aew_b0328,aew\arctic_b0328.wav,"Change chairs, Daylight commanded.",aew
aew_b0062,aew\arctic_b0062.wav,Now it was missing from the wall.,aew
aew_b0377,aew\arctic_b0377.wav,A scarlet loincloth completed his costume.,aew
aew_b0425,aew\arctic_b0425.wav,"There were orange-green, gold-green, and a copper-green.",aew
aew_a0339,aew\arctic_a0339.wav,"They obeyed him, and went here and there at his commands.",aew
aew_a0335,aew\arctic_a0335.wav,Red-Eye swung back and forth on the branch farther down.,aew
aew_b0416,aew\arctic_b0416.wav,I arose obediently and went down the beach.,aew
aew_b0300,aew\arctic_b0300.wav,Does the old boy often go off at half-cock that way.,aew
aew_b0306,aew\arctic_b0306.wav,"Cameron looked at his hands with their long, sinewy fingers.",aew
aew_b0065,aew\arctic_b0065.wav,"Now have you got anything to say against me, Mr Philip.",aew
aew_b0195,aew\arctic_b0195.wav,Nobody knows how the natives got them.,aew
aew_a0065,aew\arctic_a0065.wav,They closed now until his fingers were like cords of steel.,aew
aew_b0460,aew\arctic_b0460.wav,"The more his opponents grew excited, the more Ernest deliberately excited them.",aew
aew_b0206,aew\arctic_b0206.wav,"Horses and rifles had been her toys, camp and trail her nursery.",aew
aew_a0316,aew\arctic_a0316.wav,"We had been chased by them ourselves, more than once.",aew
aew_b0215,aew\arctic_b0215.wav,"It is a good property, and worth more than that.",aew
aew_a0403,aew\arctic_a0403.wav,His newborn cunning gave him poise and control.,aew
aew_b0484,aew\arctic_b0484.wav,This the Iron Heel foresaw and laid its schemes accordingly.,aew
aew_a0409,aew\arctic_a0409.wav,He could feel a new stir in the land.,aew
aew_b0531,aew\arctic_b0531.wav,I am sure it must have been some adventure.,aew
aew_b0248,aew\arctic_b0248.wav,Exciting times are the lot of the fish patrol.,aew
aew_b0182,aew\arctic_b0182.wav,I was in New York when the crash came.,aew
aew_a0263,aew\arctic_a0263.wav,"Joan looked triumphantly at Sheldon, who bowed.",aew
aew_a0356,aew\arctic_a0356.wav,You don't catch me at any such foolishness.,aew
aew_b0320,aew\arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter.,aew
aew_a0487,aew\arctic_a0487.wav,"The river bared its bosom, and snorting steamboats challenged the wilderness.",aew
aew_a0178,aew\arctic_a0178.wav,Every bone in her aged body seemed broken or dislocated.,aew
aew_a0365,aew\arctic_a0365.wav,These rumors may even originate with us.,aew
aew_a0043,aew\arctic_a0043.wav,It seemed nearer to him since he had seen and talked with Gregson.,aew
aew_a0332,aew\arctic_a0332.wav,"Unconsciously, our yells and exclamations yielded to this rhythm.",aew
aew_a0540,aew\arctic_a0540.wav,"Yea, so are all the lesser animals of today clean.",aew
aew_a0300,aew\arctic_a0300.wav,From my earliest recollection my sleep was a period of terror.,aew
aew_a0209,aew\arctic_a0209.wav,"It was not a large lake, and almost round.",aew
aew_b0270,aew\arctic_b0270.wav,We could throw stones with our feet.,aew
aew_b0387,aew\arctic_b0387.wav,It is merely the simple superlative.,aew
aew_a0220,aew\arctic_a0220.wav,A dead man is of no use on a plantation.,aew
aew_b0293,aew\arctic_b0293.wav,Between him and all domestic animals there must be no hostilities.,aew
aew_a0061,aew\arctic_a0061.wav,Philip snatched at the letter which Gregson held out to him.,aew
aew_a0205,aew\arctic_a0205.wav,From now on we're pals.,aew
aew_b0042,aew\arctic_b0042.wav,Ten minutes had not elapsed since he had dropped the handkerchief.,aew
aew_b0173,aew\arctic_b0173.wav,To these he gave castor oil.,aew
aew_a0020,aew\arctic_a0020.wav,Clubs and balls and cities grew to be only memories.,aew
aew_a0368,aew\arctic_a0368.wav,I just do appreciate it without being able to express my feelings.,aew
aew_a0449,aew\arctic_a0449.wav,"A sinewy hand, dripping with water, was clutching the rail.",aew
aew_b0291,aew\arctic_b0291.wav,The awe of man rushed over him again.,aew
aew_a0165,aew\arctic_a0165.wav,They are to attack your camp tomorrow night.,aew
aew_b0041,aew\arctic_b0041.wav,"But if Pierre did not return, until tomorrow.",aew
aew_b0358,aew\arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip.,aew
aew_a0131,aew\arctic_a0131.wav,Providence had delivered him through the maelstrom.,aew
aew_b0081,aew\arctic_b0081.wav,You were going to leave after you saw me on the rock.,aew
aew_a0212,aew\arctic_a0212.wav,"Fresh cases, still able to walk, they clustered about the spokesman.",aew
aew_b0179,aew\arctic_b0179.wav,Let them go out and eat with my boys.,aew
aew_b0357,aew\arctic_b0357.wav,The Law of Club and Fang,aew
aew_b0399,aew\arctic_b0399.wav,"You were looking squeamish this afternoon, he began.",aew
aew_b0278,aew\arctic_b0278.wav,Now animals do not like mockery.,aew
aew_a0458,aew\arctic_a0458.wav,The stout wood was crushed like an eggshell.,aew
aew_b0294,aew\arctic_b0294.wav,For a much longer time Lop-Ear and I remained and watched.,aew
aew_b0076,aew\arctic_b0076.wav,Before Philip could recover himself Jeanne's startled guards were upon him.,aew
aew_b0449,aew\arctic_b0449.wav,"Also, she wouldn't walk.",aew
aew_a0466,aew\arctic_a0466.wav,"Captain West may be a Samurai, but he is also human.",aew
aew_a0256,aew\arctic_a0256.wav,See the length of the body and that elongated neck.,aew
aew_a0485,aew\arctic_a0485.wav,Each insult added to the value of the claim.,aew
aew_a0400,aew\arctic_a0400.wav,Manuel had one besetting sin.,aew
aew_b0537,aew\arctic_b0537.wav,But she had become an automaton.,aew
aew_a0486,aew\arctic_a0486.wav,"For the rest, he was a mere automaton.",aew
aew_b0129,aew\arctic_b0129.wav,Did Thorpe go to see any one in Churchill.,aew
aew_a0108,aew\arctic_a0108.wav,He waded into the edge of the water and began scrubbing himself.,aew
aew_b0232,aew\arctic_b0232.wav,It was a superb picture.,aew
aew_b0044,aew\arctic_b0044.wav,For a few moments he ate in silence.,aew
aew_a0573,aew\arctic_a0573.wav,There was no law on the Yukon save what they made for themselves.,aew
aew_a0383,aew\arctic_a0383.wav,"To his surprise, her answer was flat and uncompromising.",aew
aew_a0022,aew\arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition.,aew
aew_a0010,aew\arctic_a0010.wav,I'm playing a single hand in what looks like a losing game.,aew
aew_b0243,aew\arctic_b0243.wav,They had been on the same lay as ourselves.,aew
aew_a0554,aew\arctic_a0554.wav,"Jack London, Waikiki Beach, Honolulu, Oahu.",aew
aew_a0510,aew\arctic_a0510.wav,Much more Ernest told them of themselves and of his disillusionment.,aew
aew_b0508,aew\arctic_b0508.wav,In his anxiety and solicitude and love they did not count.,aew
aew_b0252,aew\arctic_b0252.wav,It resembled tea less than lager beer resembles champagne.,aew
aew_a0040,aew\arctic_a0040.wav,I suppose you wonder why she is coming up here.,aew
aew_b0061,aew\arctic_b0061.wav,"Something about it seemed to fascinate him, to challenge his presence.",aew
aew_b0532,aew\arctic_b0532.wav,That Longfellow chap most likely had written countless books of poetry.,aew
aew_b0429,aew\arctic_b0429.wav,And the Eurasian Chinese-Englishman bowed himself away.,aew
aew_b0111,aew\arctic_b0111.wav,The journey was continued at dawn.,aew
aew_b0334,aew\arctic_b0334.wav,"Oh, it's just a novel, a love story.",aew
aew_b0131,aew\arctic_b0131.wav,"Thorpe and his men were to destroy this camp, and kill you.",aew
aew_b0222,aew\arctic_b0222.wav,"He was the leader, and Tudor was his lieutenant.",aew
aew_a0056,aew\arctic_a0056.wav,Pearce's little eyes were fixed on him shrewdly.,aew
aew_b0121,aew\arctic_b0121.wav,I want my men to work by themselves.,aew
aew_a0088,aew\arctic_a0088.wav,"He made sure that the magazine was loaded, and resumed his paddling.",aew
aew_a0281,aew\arctic_a0281.wav,I do not blame you for anything; remember that.,aew
aew_a0430,aew\arctic_a0430.wav,Nevertheless we found ourselves once more in the high seat of abundance.,aew
aew_a0459,aew\arctic_a0459.wav,There's too much of the schoolboy in me.,aew
aew_a0489,aew\arctic_a0489.wav,"They were artists, not biologists.",aew
aew_a0086,aew\arctic_a0086.wav,Death had come with terrible suddenness.,aew
aew_a0375,aew\arctic_a0375.wav,The butchers and meat cutters refused to handle meat destined for unfair restaurants.,aew
aew_b0279,aew\arctic_b0279.wav,He gave one last snarl and slid from view among the trees.,aew
aew_b0246,aew\arctic_b0246.wav,The boy grew and prospered.,aew
aew_a0087,aew\arctic_a0087.wav,"Philip bent lower, and stared into the face of the dead man.",aew
aew_a0533,aew\arctic_a0533.wav,"Dunham, can your boy go along with Jesse.",aew
aew_b0536,aew\arctic_b0536.wav,Typhoid -- did I tell you.,aew
aew_b0192,aew\arctic_b0192.wav,"Outsiders are allowed five minute speeches, the sick man urged.",aew
aew_a0060,aew\arctic_a0060.wav,"Anyway, no one saw her like that.",aew
aew_a0253,aew\arctic_a0253.wav,He it was that lived to found the family of the Patino.,aew
aew_b0494,aew\arctic_b0494.wav,Never so strange a prophet came up to Jerusalem.,aew
aew_b0134,aew\arctic_b0134.wav,"Blind with rage, he darted in.",aew
aew_a0390,aew\arctic_a0390.wav,I'll go over tomorrow afternoon.,aew
aew_a0535,aew\arctic_a0535.wav,A new preacher and a new doctrine come to Jerusalem.,aew
aew_b0247,aew\arctic_b0247.wav,He wanted to give the finish to this foe already so far gone.,aew
aew_a0126,aew\arctic_a0126.wav,Each day she became a more vital part of him.,aew
aew_a0208,aew\arctic_a0208.wav,"Youth had come back to her, freed from the yoke of oppression.",aew
aew_b0369,aew\arctic_b0369.wav,"You see, we were teaching ourselves.",aew
aew_a0293,aew\arctic_a0293.wav,They were deep in the primeval forest.,aew
aew_b0466,aew\arctic_b0466.wav,"It is dog eat dog, and you ate them up.",aew
aew_a0083,aew\arctic_a0083.wav,A shadow was creeping over Pierre's eyes.,aew
aew_a0455,aew\arctic_a0455.wav,"I obeyed, and a minute or two later they stood before him.",aew
aew_b0120,aew\arctic_b0120.wav,"There's the hitch, replied Thorpe, rolling a cigarette.",aew
aew_a0011,aew\arctic_a0011.wav,If I ever needed a fighter in my life I need one now.,aew
aew_a0478,aew\arctic_a0478.wav,"Also, she has forbidden them smoking their pipes in the after-room.",aew
aew_b0106,aew\arctic_b0106.wav,For a full minute the two men stared into each other's face.,aew
aew_a0520,aew\arctic_a0520.wav,He was fond of quoting a fragment from a certain poem.,aew
aew_a0579,aew\arctic_a0579.wav,There was the Emma Louisa.,aew
aew_a0132,aew\arctic_a0132.wav,A cry of joy burst from Philip's lips.,aew
aew_a0536,aew\arctic_a0536.wav,He would destroy all things that are fixed.,aew
aew_a0393,aew\arctic_a0393.wav,Already he had begun borrowing from the banks.,aew
aew_b0103,aew\arctic_b0103.wav,"He lifted his eyes, and a strange cry burst from his lips.",aew
aew_a0532,aew\arctic_a0532.wav,May drought destroy your crops.,aew
aew_a0443,aew\arctic_a0443.wav,He was worth nothing to the world.,aew
aew_b0507,aew\arctic_b0507.wav,Did I possess too much vitality.,aew
aew_a0053,aew\arctic_a0053.wav,Suddenly his fingers closed tightly over the handkerchief.,aew
aew_a0024,aew\arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy.,aew
aew_b0380,aew\arctic_b0380.wav,He had peeled off his shirt and was wildly waving it.,aew
aew_a0378,aew\arctic_a0378.wav,That's why its boundaries are all gouged and jagged.,aew
aew_a0447,aew\arctic_a0447.wav,"Ah, it is growing dark and darker.",aew
aew_a0511,aew\arctic_a0511.wav,There is more behind this than a mere university ideal.,aew
aew_b0235,aew\arctic_b0235.wav,"Raoul yelled, in order to make himself heard.",aew
aew_b0212,aew\arctic_b0212.wav,Death is and has been ever since old Maui died.,aew
aew_b0309,aew\arctic_b0309.wav,Nor was Elam Harnish an exception.,aew
aew_a0559,aew\arctic_a0559.wav,Peace be unto you and grace before the Lord.,aew
aew_a0521,aew\arctic_a0521.wav,Without them he could not run his empire.,aew
aew_b0289,aew\arctic_b0289.wav,At first his progress was slow and erratic.,aew
aew_b0096,aew\arctic_b0096.wav,Within himself he called it no longer his own.,aew
aew_a0070,aew\arctic_a0070.wav,He would first hunt up Gregson and begin his work there.,aew
aew_b0169,aew\arctic_b0169.wav,He drew in a deep breath as he looked at them.,aew
aew_a0204,aew\arctic_a0204.wav,The wolf-dog thrust his gaunt muzzle toward him.,aew
aew_b0286,aew\arctic_b0286.wav,The time was considered auspicious.,aew
aew_b0318,aew\arctic_b0318.wav,Again he had done the big thing.,aew
aew_a0519,aew\arctic_a0519.wav,Such an act was in direct violation of the laws of the land.,aew
aew_a0418,aew\arctic_a0418.wav,The Portuguese boy crawled nearer and nearer.,aew
aew_a0432,aew\arctic_a0432.wav,The boy at the wheel lost his head.,aew
aew_a0515,aew\arctic_a0515.wav,But here amongst ourselves let us speak out.,aew
aew_a0247,aew\arctic_a0247.wav,They ought to pass here some time today.,aew
aew_b0240,aew\arctic_b0240.wav,"There are four, all low, McCoy answered.",aew
aew_a0228,aew\arctic_a0228.wav,But it contributed to the smash.,aew
aew_a0098,aew\arctic_a0098.wav,Shall I carry you.,aew
aew_a0249,aew\arctic_a0249.wav,"All eyes, however, were staring at him in certitude of expectancy.",aew
aew_b0039,aew\arctic_b0039.wav,"Philip took a step toward Gregson, half determined to awaken him.",aew
aew_b0256,aew\arctic_b0256.wav,"Outwardly, he maintained a calm and smiling aspect.",aew
aew_b0514,aew\arctic_b0514.wav,Tomorrow or next day it might he gone.,aew
aew_a0524,aew\arctic_a0524.wav,At once would be instituted a dozen cooperative commonwealth states.,aew
aew_b0510,aew\arctic_b0510.wav,He knew what taboos he was violating.,aew
aew_b0495,aew\arctic_b0495.wav,We who have endured so much surely can endure a little more.,aew
aew_a0436,aew\arctic_a0436.wav,But Martin smiled a superior smile.,aew
aew_b0347,aew\arctic_b0347.wav,But ever his gaze returned to that Crouched Venus on the piano.,aew
aew_a0429,aew\arctic_a0429.wav,"Quick was the disappointment in his face, yet smiling was the acquiescence.",aew
aew_b0384,aew\arctic_b0384.wav,The skipper's and Nakata's gymnastics served as a translation without words.,aew
aew_b0356,aew\arctic_b0356.wav,He loved to play Chinese lottery.,aew
aew_b0418,aew\arctic_b0418.wav,At that moment I got the impression that she was willowy.,aew
aew_a0353,aew\arctic_a0353.wav,Here the explosion of mirth drowned him out.,aew
aew_b0138,aew\arctic_b0138.wav,"And then, steadily, he began to chew.",aew
aew_b0406,aew\arctic_b0406.wav,How in hell did he know it was you in the dark.,aew
aew_a0384,aew\arctic_a0384.wav,The farmer works the soil and produces grain.,aew
aew_a0039,aew\arctic_a0039.wav,The ship should be in within a week or ten days.,aew
aew_a0089,aew\arctic_a0089.wav,The nightglow was treacherous to shoot by.,aew
aew_b0322,aew\arctic_b0322.wav,Their supply of grub was gone.,aew
aew_b0015,aew\arctic_b0015.wav,They robbed me a few years later.,aew
aew_b0242,aew\arctic_b0242.wav,The Japanese understood as we could never school ourselves or hope to understand.,aew
aew_b0485,aew\arctic_b0485.wav,"The mob came on, but it could not advance.",aew
aew_b0431,aew\arctic_b0431.wav,"Too much, he told me, with ominous rolling head.",aew
aew_b0113,aew\arctic_b0113.wav,There was something pathetic in the girl's attitude now.,aew
aew_b0050,aew\arctic_b0050.wav,All this day Gregson remained in the cabin.,aew
aew_b0245,aew\arctic_b0245.wav,Harrison is still my chauffeur.,aew
aew_b0234,aew\arctic_b0234.wav,"And watch out for wet feet, was his parting advice.",aew
aew_b0127,aew\arctic_b0127.wav,He destroyed everything that had belonged to the woman.,aew
aew_a0289,aew\arctic_a0289.wav,"They are not regular oyster pirates, Nicholas continued.",aew
aew_a0585,aew\arctic_a0585.wav,"Wonder if he's a lion dog, Charles suggested.",aew
aew_a0023,aew\arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges.,aew
aew_b0420,aew\arctic_b0420.wav,"On occasion, on this traverse, the Cape Verde Islands are raised.",aew
aew_a0018,aew\arctic_a0018.wav,There was a change now.,aew
aew_a0221,aew\arctic_a0221.wav,I don't know why you're here at all.,aew
aew_b0456,aew\arctic_b0456.wav,He was an amphibian and a mountaineer.,aew
aew_a0007,aew\arctic_a0007.wav,And you always want to see it in the superlative degree.,aew
aew_a0079,aew\arctic_a0079.wav,It was a large canoe.,aew
aew_a0474,aew\arctic_a0474.wav,I sailed third mate in the little Vampire before you were born.,aew
aew_b0253,aew\arctic_b0253.wav,The very opposite is true; they are discouraged vagabonds.,aew
aew_a0448,aew\arctic_a0448.wav,"I was Hump, cabin boy on the schooner Ghost.",aew
aew_a0239,aew\arctic_a0239.wav,He cried in such genuine dismay that she broke into hearty laughter.,aew
aew_b0196,aew\arctic_b0196.wav,"How can you manage all alone, Mr Young.",aew
aew_a0243,aew\arctic_a0243.wav,I only read the quotations.,aew
aew_b0390,aew\arctic_b0390.wav,The voyage was our idea of a good time.,aew
aew_a0179,aew\arctic_a0179.wav,"Tomorrow I'm going after that bear, he said.",aew
aew_a0480,aew\arctic_a0480.wav,Tom Spink has a harpoon.,aew
aew_a0290,aew\arctic_a0290.wav,One by one the boys were captured.,aew
aew_b0199,aew\arctic_b0199.wav,"Dear Sir, Your second victim has fallen on schedule time.",aew
aew_a0413,aew\arctic_a0413.wav,But I am at the end of my resources.,aew
aew_a0160,aew\arctic_a0160.wav,You want to go over and see his gang throw dirt.,aew
aew_b0203,aew\arctic_b0203.wav,A month in Australia would finish me.,aew
aew_b0477,aew\arctic_b0477.wav,You're going in for grab sharing.,aew
aew_b0077,aew\arctic_b0077.wav,It is the nearest refuge.,aew
aew_a0468,aew\arctic_a0468.wav,In the matter of curry she is a sheer genius.,aew
aew_a0408,aew\arctic_a0408.wav,The Eldorado emptied its occupants into the street to see the test.,aew
aew_b0504,aew\arctic_b0504.wav,"The life there was healthful and athletic, but too juvenile.",aew
aew_b0302,aew\arctic_b0302.wav,"I pulled, suddenly, with all my might.",aew
aew_b0119,aew\arctic_b0119.wav,Billinger may arrive in time.,aew
aew_b0457,aew\arctic_b0457.wav,It was sanctification and salvation.,aew
aew_a0319,aew\arctic_a0319.wav,"And the Edinburgh Evening News says, with editorial gloom.",aew
aew_a0140,aew\arctic_a0140.wav,"Accept a father's blessing, and with it, this.",aew
aew_a0505,aew\arctic_a0505.wav,We fished sharks on Niihau together.,aew
aew_b0391,aew\arctic_b0391.wav,"At sea, Tuesday, March 17, 1908.",aew
aew_a0359,aew\arctic_a0359.wav,Earth and gravel seemed to fill the pan.,aew
aew_b0441,aew\arctic_b0441.wav,"And there was Ethel Baird, whom also you must remember.",aew
aew_b0451,aew\arctic_b0451.wav,You used to joyride like the very devil.,aew
aew_a0589,aew\arctic_a0589.wav,I was sick once -- typhoid.,aew
aew_b0002,aew\arctic_b0002.wav,"You got out by fighting, and I through a pretty girl.",aew
aew_a0584,aew\arctic_a0584.wav,I have long noted your thirst unquenchable.,aew
aew_a0257,aew\arctic_a0257.wav,"They are coming ashore, whoever they are.",aew
aew_b0297,aew\arctic_b0297.wav,Why should a fellow throw up the sponge after the first round.,aew
aew_b0395,aew\arctic_b0395.wav,"I was beneath the water, suffocating and drowning.",aew
aew_a0566,aew\arctic_a0566.wav,Dennin's hands were released long enough for him to sign the document.,aew
aew_a0006,aew\arctic_a0006.wav,"God bless 'em, I hope I'll go on seeing them forever.",aew
aew_a0420,aew\arctic_a0420.wav,When I came to I was waving my hat and murmuring ecstatically.,aew
aew_a0259,aew\arctic_a0259.wav,Think of investing in such an adventure.,aew
aew_b0394,aew\arctic_b0394.wav,"The boy hesitated, then mastered his temper.",aew
aew_a0182,aew\arctic_a0182.wav,This time he did not yap for mercy.,aew
aew_a0216,aew\arctic_a0216.wav,The other felt a sudden wave of irritation rush through him.,aew
aew_b0446,aew\arctic_b0446.wav,Some one had thrust a large sheath-knife into his hand.,aew
aew_b0430,aew\arctic_b0430.wav,They were babbling and chattering all together.,aew
aew_a0488,aew\arctic_a0488.wav,Their love burned with increasing brightness.,aew
aew_a0201,aew\arctic_a0201.wav,"He cried, and swung the club wildly.",aew
aew_b0191,aew\arctic_b0191.wav,He also contended that better confidence was established by carrying no weapons.,aew
aew_b0365,aew\arctic_b0365.wav,"My age, in years, is twenty two.",aew
aew_a0564,aew\arctic_a0564.wav,"Then it is as I said, Womble announced with finality.",aew
aew_a0543,aew\arctic_a0543.wav,"I had been born with no organic, chemical predisposition toward alcohol.",aew
aew_a0077,aew\arctic_a0077.wav,"It is the fire, partly, she said.",aew
aew_b0361,aew\arctic_b0361.wav,"There are the canals of China, and the Yang-tse River.",aew
aew_b0276,aew\arctic_b0276.wav,We were now good friends.,aew
aew_b0225,aew\arctic_b0225.wav,The President of the United States was his friend.,aew
aew_a0146,aew\arctic_a0146.wav,"Of course, that is uninteresting, she continued.",aew
aew_a0424,aew\arctic_a0424.wav,"Obviously, it was a disease that could be contracted by contact.",aew
aew_b0496,aew\arctic_b0496.wav,I have seen myself that one man contemplated by Pascal's philosophic eye.,aew
aew_b0442,aew\arctic_b0442.wav,He had become a man very early in life.,aew
aew_b0145,aew\arctic_b0145.wav,"Besides, had he not whipped the big owl in the forest.",aew
aew_b0436,aew\arctic_b0436.wav,Famine had been my great ally.,aew
aew_b0172,aew\arctic_b0172.wav,On the far corner of the compound fence a hawk brooded.,aew
aew_b0405,aew\arctic_b0405.wav,"And each year something happened, and I did not go.",aew
aew_a0255,aew\arctic_a0255.wav,"You won't die of malnutrition, be sure of that.",aew
aew_a0296,aew\arctic_a0296.wav,Bassett was a fastidious man.,aew
aew_a0045,aew\arctic_a0045.wav,He moved away as quietly as he had come.,aew
aew_a0118,aew\arctic_a0118.wav,Pierre obeys me when we are together.,aew
aew_b0073,aew\arctic_b0073.wav,With these arguments he convinced himself that he should go on alone.,aew
aew_b0455,aew\arctic_b0455.wav,His reward should have been peace and repose.,aew
aew_b0513,aew\arctic_b0513.wav,"He plodded on for half an hour, when the hallucination arose again.",aew
aew_a0446,aew\arctic_a0446.wav,"He deluged me, overwhelmed me with argument.",aew
aew_b0150,aew\arctic_b0150.wav,And he was filled with a strange and foreboding fear.,aew
aew_a0119,aew\arctic_a0119.wav,Jeanne was turning the bow shoreward.,aew
aew_b0100,aew\arctic_b0100.wav,"There was one chance, and only one, of saving Jeanne.",aew
aew_a0092,aew\arctic_a0092.wav,"He went down in midstream, searching the shadows of both shores.",aew
aew_b0259,aew\arctic_b0259.wav,"Her mouth opened, but instead of speaking she drew a long sigh.",aew
aew_a0453,aew\arctic_a0453.wav,"Eighteen hundred, he calculated.",aew
aew_a0500,aew\arctic_a0500.wav,Who the devil gave it to you to be judge and jury.,aew
aew_a0544,aew\arctic_a0544.wav,He may anticipate the day of his death.,aew
aew_b0117,aew\arctic_b0117.wav,"That's Thorpe's, said the young engineer.",aew
aew_b0014,aew\arctic_b0014.wav,"Whitefish, Gregson, whitefish and trout.",aew
aew_a0417,aew\arctic_a0417.wav,"It is also an insidious, deceitful sun.",aew
aew_b0464,aew\arctic_b0464.wav,I could not agree with Ernest.,aew
aew_a0215,aew\arctic_a0215.wav,They die out of spite.,aew
aew_a0411,aew\arctic_a0411.wav,It will break our hearts and our backs to hoist anchor by hand.,aew
aew_a0164,aew\arctic_a0164.wav,"He came first a year ago, and revealed himself to Jeanne.",aew
aew_b0108,aew\arctic_b0108.wav,"It was a miracle, and I owe you my life.",aew
aew_b0383,aew\arctic_b0383.wav,A bush chief had died a natural death.,aew
aew_a0580,aew\arctic_a0580.wav,This is my fifth voyage.,aew
aew_b0506,aew\arctic_b0506.wav,It would help to tide me along until I got steady employment.,aew
aew_a0457,aew\arctic_a0457.wav,What I saw I could not at first believe.,aew
aew_b0130,aew\arctic_b0130.wav,She saw the answer in his face.,aew
aew_b0095,aew\arctic_b0095.wav,He heard a sound which brought him quickly into consciousness of day.,aew
aew_b0107,aew\arctic_b0107.wav,"He was sure, now, of but few things.",aew
aew_a0078,aew\arctic_a0078.wav,"Then, and at supper, he tried to fathom her.",aew
aew_b0268,aew\arctic_b0268.wav,"Saxon nodded, and the boy frowned.",aew
aew_b0193,aew\arctic_b0193.wav,So was Packard's finish suicide.,aew
aew_a0051,aew\arctic_a0051.wav,"The lace was of a delicate ivory color, faintly tinted with yellow.",aew
aew_b0333,aew\arctic_b0333.wav,"It does, was her audacious answer.",aew
aew_a0326,aew\arctic_a0326.wav,Cherokee identified himself with his instinct.,aew
aew_b0017,aew\arctic_b0017.wav,"Everything was working smoothly, better than I had expected.",aew
aew_a0151,aew\arctic_a0151.wav,"And MacDougall was beyond the trail, with three weeks to spare.",aew
aew_a0307,aew\arctic_a0307.wav,"Very early in my life, I separated from my mother.",aew
aew_b0226,aew\arctic_b0226.wav,Your face was the personification of duplicity.,aew
aew_b0249,aew\arctic_b0249.wav,I know they are my oysters.,aew
aew_b0376,aew\arctic_b0376.wav,"Thought I, and a worthy fool he proved.",aew
aew_a0109,aew\arctic_a0109.wav,Do you know that you are shaking my confidence in you.,aew
aew_b0068,aew\arctic_b0068.wav,Only the chance sound had led him to observe them.,aew
aew_a0298,aew\arctic_a0298.wav,This tacit promise of continued acquaintance gave Saxon a little joy-thrill.,aew
aew_a0460,aew\arctic_a0460.wav,I had forgotten their existence.,aew
aew_a0041,aew\arctic_a0041.wav,Meanwhile I'll go out to breathe a spell.,aew
